# Structural comparison of hr/userGuide.t2t against hr/userGuide-newRevisions/22933/userGuide.t2t
en 6.1.1. start:846 paragraphs:4, tables:0, lists:2
hr 11.1.2. start:1515 paragraphs:29, tables:1, lists:0
en 11.1.2.1. start:1222 paragraphs:1, tables:0, lists:0
en 11.1.3. start:1228 paragraphs:1, tables:0, lists:0
hr 11.1.3. start:1637 paragraphs:5, tables:0, lists:0
hr 11.1.4. start:1655 paragraphs:1, tables:1, lists:0
hr 11.1.5. start:1665 paragraphs:35, tables:3, lists:0
hr 11.1.6. start:1829 paragraphs:14, tables:0, lists:0
hr 11.1.7. start:1876 paragraphs:10, tables:1, lists:1
hr 11.1.8. start:1919 paragraphs:8, tables:0, lists:1
hr 11.1.9. start:1955 paragraphs:18, tables:0, lists:1
hr 11.1.10. start:2016 paragraphs:11, tables:0, lists:0
hr 11.1.11. start:2060 paragraphs:3, tables:0, lists:0
hr 11.1.12. start:2075 paragraphs:8, tables:0, lists:0
hr 11.1.13. start:2099 paragraphs:17, tables:0, lists:2
hr 11.1.14. start:2164 paragraphs:6, tables:0, lists:0
hr 11.1.15. start:2194 paragraphs:28, tables:0, lists:3
hr 11.1.16. start:2349 paragraphs:5, tables:1, lists:1
hr 11.1.17. start:2372 paragraphs:3, tables:0, lists:0
hr 11.1.18. start:2386 paragraphs:34, tables:6, lists:7
en 11.2. start:1234 paragraphs:0, tables:0, lists:0
hr 11.2. start:2600 paragraphs:1, tables:0, lists:0
en 11.2.1. start:1236 paragraphs:2, tables:1, lists:0
hr 11.2.1. start:2603 paragraphs:9, tables:0, lists:1
en 11.2.2. start:1249 paragraphs:2, tables:0, lists:1
hr 11.2.2. start:2639 paragraphs:8, tables:0, lists:1
en 11.2.3. start:1271 paragraphs:5, tables:0, lists:0
hr 11.2.3. start:2676 paragraphs:9, tables:0, lists:1
en 11.2.4. start:1294 paragraphs:1, tables:0, lists:0
en 11.2.5. start:1300 paragraphs:1, tables:0, lists:0
en 11.3. start:1306 paragraphs:0, tables:1, lists:0
hr 11.3. start:2709 paragraphs:3, tables:1, lists:0
en 11.4. start:1312 paragraphs:1, tables:1, lists:0
hr 11.4. start:2724 paragraphs:3, tables:0, lists:0
hr 11.4.1. start:2735 paragraphs:5, tables:0, lists:1
hr 11.4.2. start:2751 paragraphs:3, tables:0, lists:0
hr 11.4.3. start:2763 paragraphs:1, tables:0, lists:0
hr 11.4.4. start:2771 paragraphs:5, tables:0, lists:1
hr 11.4.5. start:2784 paragraphs:2, tables:0, lists:0
hr 11.4.6. start:2792 paragraphs:2, tables:0, lists:0
hr 11.4.7. start:2799 paragraphs:1, tables:0, lists:0
en 11.5. start:1322 paragraphs:0, tables:1, lists:0
hr 11.5. start:2807 paragraphs:3, tables:0, lists:0
en 11.6. start:1328 paragraphs:1, tables:1, lists:0
en 11.7. start:1339 paragraphs:4, tables:0, lists:0
en 11.7.1. start:1356 paragraphs:1, tables:0, lists:0
en 11.7.2. start:1364 paragraphs:4, tables:0, lists:1
en 11.8. start:1378 paragraphs:1, tables:1, lists:0
en 11.9. start:1386 paragraphs:1, tables:1, lists:0
en 12. start:1402 paragraphs:1, tables:0, lists:0
hr 12. start:2819 paragraphs:4, tables:0, lists:1
en 12.1. start:1414 paragraphs:4, tables:0, lists:0
hr 12.1. start:2837 paragraphs:2, tables:0, lists:0
en 12.1.1. start:1432 paragraphs:19, tables:0, lists:3
hr 12.1.1. start:2846 paragraphs:1, tables:0, lists:0
en 12.1.2. start:1515 paragraphs:29, tables:1, lists:0
hr 12.1.2. start:2851 paragraphs:2, tables:0, lists:0
en 12.1.3. start:1637 paragraphs:5, tables:0, lists:0
hr 12.1.3. start:2862 paragraphs:1, tables:0, lists:0
en 12.1.4. start:1655 paragraphs:1, tables:1, lists:0
hr 12.1.4. start:2865 paragraphs:3, tables:0, lists:1
en 12.1.5. start:1665 paragraphs:35, tables:3, lists:0
hr 12.1.5. start:2877 paragraphs:1, tables:0, lists:0
en 12.1.6. start:1829 paragraphs:14, tables:0, lists:0
en 12.1.7. start:1876 paragraphs:9, tables:1, lists:1
en 12.1.8. start:1917 paragraphs:8, tables:0, lists:1
en 12.1.9. start:1953 paragraphs:18, tables:0, lists:1
en 12.1.10. start:2014 paragraphs:11, tables:0, lists:0
en 12.1.11. start:2058 paragraphs:3, tables:0, lists:0
en 12.1.12. start:2073 paragraphs:8, tables:0, lists:0
en 12.1.13. start:2097 paragraphs:18, tables:0, lists:2
en 12.1.14. start:2162 paragraphs:6, tables:0, lists:0
en 12.1.15. start:2192 paragraphs:17, tables:0, lists:0
en 12.1.16. start:2268 paragraphs:11, tables:0, lists:2
en 12.1.17. start:2347 paragraphs:4, tables:1, lists:1
en 12.1.18. start:2370 paragraphs:3, tables:0, lists:0
en 12.1.19. start:2384 paragraphs:33, tables:6, lists:8
en 12.2. start:2598 paragraphs:1, tables:0, lists:0
hr 12.2. start:2883 paragraphs:1, tables:0, lists:0
en 12.2.1. start:2601 paragraphs:9, tables:0, lists:1
hr 12.2.1. start:2888 paragraphs:6, tables:0, lists:0
en 12.2.2. start:2637 paragraphs:8, tables:0, lists:1
hr 12.2.2. start:2910 paragraphs:1, tables:0, lists:0
en 12.2.3. start:2674 paragraphs:9, tables:0, lists:1
hr 12.2.3. start:2917 paragraphs:1, tables:0, lists:0
hr 12.2.4. start:2927 paragraphs:1, tables:0, lists:0
en 12.3. start:2707 paragraphs:3, tables:1, lists:0
hr 12.3. start:2935 paragraphs:4, tables:0, lists:0
en 12.4. start:2722 paragraphs:3, tables:0, lists:0
en 12.4.1. start:2733 paragraphs:5, tables:0, lists:1
en 12.4.2. start:2749 paragraphs:3, tables:0, lists:0
en 12.4.3. start:2761 paragraphs:1, tables:0, lists:0
en 12.4.4. start:2769 paragraphs:5, tables:0, lists:1
en 12.4.5. start:2782 paragraphs:2, tables:0, lists:0
en 12.4.6. start:2790 paragraphs:2, tables:0, lists:0
en 12.4.7. start:2797 paragraphs:1, tables:0, lists:0
en 12.5. start:2805 paragraphs:3, tables:0, lists:0
en 13. start:2817 paragraphs:4, tables:0, lists:1
hr 13. start:2952 paragraphs:0, tables:0, lists:0
en 13.1. start:2835 paragraphs:2, tables:0, lists:0
hr 13.1. start:2954 paragraphs:4, tables:1, lists:0
en 13.1.1. start:2844 paragraphs:1, tables:0, lists:0
en 13.1.2. start:2849 paragraphs:2, tables:0, lists:0
en 13.1.3. start:2860 paragraphs:1, tables:0, lists:0
en 13.1.4. start:2863 paragraphs:3, tables:0, lists:1
en 13.1.5. start:2875 paragraphs:1, tables:0, lists:0
en 13.2. start:2881 paragraphs:1, tables:0, lists:0
hr 13.2. start:2971 paragraphs:5, tables:0, lists:0
en 13.2.1. start:2886 paragraphs:6, tables:0, lists:0
en 13.2.2. start:2908 paragraphs:1, tables:0, lists:0
en 13.2.3. start:2915 paragraphs:1, tables:0, lists:0
en 13.2.4. start:2925 paragraphs:1, tables:0, lists:0
en 13.3. start:2933 paragraphs:4, tables:0, lists:0
hr 13.3. start:2986 paragraphs:5, tables:0, lists:0
hr 13.4. start:3009 paragraphs:1, tables:0, lists:0
hr 13.5. start:3013 paragraphs:1, tables:0, lists:0
hr 13.6. start:3017 paragraphs:4, tables:0, lists:1
hr 13.7. start:3028 paragraphs:5, tables:0, lists:1
hr 13.8. start:3043 paragraphs:2, tables:1, lists:0
en 14. start:2950 paragraphs:0, tables:0, lists:0
hr 14. start:3055 paragraphs:1, tables:0, lists:0
en 14.1. start:2952 paragraphs:4, tables:1, lists:0
hr 14.1. start:3059 paragraphs:3, tables:0, lists:0
en 14.2. start:2969 paragraphs:5, tables:0, lists:0
hr 14.2. start:3069 paragraphs:2, tables:0, lists:0
en 14.3. start:2984 paragraphs:6, tables:0, lists:0
hr 14.3. start:3076 paragraphs:1, tables:0, lists:0
en 14.4. start:3008 paragraphs:1, tables:0, lists:0
hr 14.4. start:3081 paragraphs:3, tables:0, lists:1
en 14.5. start:3012 paragraphs:1, tables:0, lists:0
hr 14.5. start:3094 paragraphs:3, tables:0, lists:0
en 14.6. start:3016 paragraphs:4, tables:0, lists:1
en 14.7. start:3027 paragraphs:5, tables:0, lists:1
en 14.8. start:3042 paragraphs:2, tables:1, lists:0
en 15. start:3054 paragraphs:1, tables:0, lists:0
hr 15. start:3111 paragraphs:1, tables:0, lists:0
en 15.1. start:3058 paragraphs:3, tables:0, lists:0
hr 15.1. start:3114 paragraphs:3, tables:0, lists:1
en 15.2. start:3068 paragraphs:2, tables:0, lists:0
hr 15.2. start:3134 paragraphs:5, tables:3, lists:0
en 15.3. start:3075 paragraphs:1, tables:0, lists:0
hr 15.3. start:3206 paragraphs:4, tables:1, lists:0
en 15.4. start:3080 paragraphs:3, tables:0, lists:1
hr 15.4. start:3258 paragraphs:3, tables:1, lists:1
en 15.5. start:3093 paragraphs:3, tables:0, lists:0
hr 15.5. start:3292 paragraphs:3, tables:1, lists:0
hr 15.6. start:3314 paragraphs:6, tables:2, lists:1
hr 15.7. start:3359 paragraphs:3, tables:1, lists:0
hr 15.8. start:3378 paragraphs:3, tables:1, lists:0
hr 15.9. start:3397 paragraphs:4, tables:0, lists:1
hr 15.9.1. start:3411 paragraphs:0, tables:1, lists:0
hr 15.9.2. start:3436 paragraphs:0, tables:1, lists:0
hr 15.9.3. start:3444 paragraphs:0, tables:1, lists:0
hr 15.10. start:3454 paragraphs:2, tables:1, lists:0
hr 15.11. start:3525 paragraphs:2, tables:0, lists:1
hr 15.11.1. start:3533 paragraphs:2, tables:1, lists:1
hr 15.11.2. start:3558 paragraphs:2, tables:1, lists:1
hr 15.12. start:3599 paragraphs:10, tables:3, lists:3
hr 15.13. start:3690 paragraphs:9, tables:4, lists:1
hr 15.14. start:3774 paragraphs:10, tables:3, lists:1
hr 15.15. start:3866 paragraphs:4, tables:1, lists:1
hr 15.16. start:3902 paragraphs:1, tables:1, lists:0
hr 15.17. start:3912 paragraphs:2, tables:0, lists:0
hr 15.17.1. start:3922 paragraphs:0, tables:1, lists:0
hr 15.17.2. start:3984 paragraphs:0, tables:1, lists:0
hr 15.17.3. start:4006 paragraphs:0, tables:1, lists:0
hr 15.17.4. start:4024 paragraphs:0, tables:1, lists:0
hr 15.17.5. start:4043 paragraphs:0, tables:1, lists:0
hr 15.18. start:4071 paragraphs:2, tables:1, lists:0
hr 15.19. start:4087 paragraphs:4, tables:1, lists:0
hr 15.20. start:4116 paragraphs:3, tables:1, lists:0
hr 15.21. start:4180 paragraphs:4, tables:2, lists:0
en 16. start:3110 paragraphs:1, tables:0, lists:0
hr 16. start:4209 paragraphs:0, tables:0, lists:0
en 16.1. start:3113 paragraphs:3, tables:0, lists:1
hr 16.1. start:4211 paragraphs:6, tables:0, lists:1
en 16.2. start:3133 paragraphs:5, tables:3, lists:0
hr 16.2. start:4241 paragraphs:4, tables:0, lists:1
en 16.3. start:3205 paragraphs:4, tables:1, lists:0
hr 16.3. start:4255 paragraphs:6, tables:3, lists:0
en 16.4. start:3257 paragraphs:3, tables:1, lists:1
hr 16.4. start:4305 paragraphs:3, tables:1, lists:1
en 16.5. start:3291 paragraphs:3, tables:1, lists:0
en 16.6. start:3313 paragraphs:6, tables:2, lists:1
en 16.7. start:3358 paragraphs:3, tables:1, lists:0
en 16.8. start:3377 paragraphs:3, tables:1, lists:0
en 16.9. start:3396 paragraphs:4, tables:0, lists:1
en 16.9.1. start:3410 paragraphs:0, tables:1, lists:0
en 16.9.2. start:3435 paragraphs:0, tables:1, lists:0
en 16.9.3. start:3443 paragraphs:0, tables:1, lists:0
en 16.10. start:3453 paragraphs:2, tables:1, lists:0
en 16.11. start:3524 paragraphs:2, tables:0, lists:1
en 16.11.1. start:3532 paragraphs:2, tables:1, lists:1
en 16.11.2. start:3557 paragraphs:2, tables:1, lists:1
en 16.12. start:3598 paragraphs:10, tables:3, lists:3
en 16.13. start:3689 paragraphs:9, tables:4, lists:1
en 16.14. start:3773 paragraphs:10, tables:3, lists:1
en 16.15. start:3865 paragraphs:4, tables:1, lists:1
en 16.16. start:3901 paragraphs:1, tables:1, lists:0
en 16.17. start:3911 paragraphs:2, tables:0, lists:0
en 16.17.1. start:3921 paragraphs:0, tables:1, lists:0
en 16.17.2. start:3984 paragraphs:0, tables:1, lists:0
en 16.17.3. start:4006 paragraphs:0, tables:1, lists:0
en 16.17.4. start:4024 paragraphs:0, tables:1, lists:0
en 16.17.5. start:4043 paragraphs:0, tables:1, lists:0
en 16.18. start:4071 paragraphs:2, tables:1, lists:0
en 16.19. start:4087 paragraphs:4, tables:1, lists:0
en 16.20. start:4116 paragraphs:3, tables:1, lists:0
en 16.21. start:4180 paragraphs:3, tables:1, lists:0
en 17. start:4209 paragraphs:0, tables:0, lists:0
hr 17. start:4318 paragraphs:2, tables:0, lists:0
en 17.1. start:4211 paragraphs:6, tables:0, lists:1
en 17.2. start:4241 paragraphs:4, tables:0, lists:1
en 17.3. start:4255 paragraphs:6, tables:3, lists:0
en 17.4. start:4305 paragraphs:3, tables:1, lists:1
en 18. start:4318 paragraphs:1, tables:0, lists:0
# end of comparison
